# SIMD pass:   GOEXPERIMENT=simd go test -run='^$' -bench=. -benchmem -benchtime=200ms -count=10 ./roaring_bitmaps/bench
# scalar pass: go test -run='^$' -bench=. -benchmem -benchtime=200ms -count=10 ./roaring_bitmaps/bench
# ROARING_N=200000 (default), amd64 AVX-512, packed containers; cases tagged simd=on|off

goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkBuild/version=v1/data=sparse/simd=on-24         	       5	  47530463 ns/op	 3928184 B/op	   94646 allocs/op
BenchmarkBuild/version=v1/data=zipf/simd=on-24           	      13	  18784890 ns/op	 1420721 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf/simd=on-24           	      12	  19446077 ns/op	 1420721 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf/simd=on-24           	      12	  17715015 ns/op	 1420724 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf/simd=on-24           	      13	  17855542 ns/op	 1420721 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf/simd=on-24           	      12	  18178252 ns/op	 1420722 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf/simd=on-24           	      13	  17688344 ns/op	 1420730 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf/simd=on-24           	      13	  18728018 ns/op	 1420721 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf/simd=on-24           	      12	  19491064 ns/op	 1420724 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       4	  50601120 ns/op	 4449048 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       4	  51501036 ns/op	 4449048 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       5	  48548228 ns/op	 4449073 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       5	  49269812 ns/op	 4449070 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       5	  43708321 ns/op	 4449051 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       5	  46064793 ns/op	 4449048 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       4	  52677646 ns/op	 4449104 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       4	  61145534 ns/op	 4449048 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       4	  51907506 ns/op	 4449104 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=sparse/simd=on-24         	       4	  57523118 ns/op	 4449052 B/op	   94643 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     226	   1058439 ns/op	  530834 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     241	   1004573 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     230	   1093930 ns/op	  530832 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     240	    980277 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     213	   1078763 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     194	   1182977 ns/op	  530832 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     220	   1068428 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     218	   1091872 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     225	   1087202 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=runs/simd=on-24           	     218	   1037377 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      12	  19185856 ns/op	 1475697 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      12	  22226850 ns/op	 1475700 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      12	  20431090 ns/op	 1475698 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      10	  20163986 ns/op	 1475697 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      10	  20302755 ns/op	 1475697 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      12	  19752832 ns/op	 1475698 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      12	  19775372 ns/op	 1475700 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      10	  20199005 ns/op	 1475699 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      12	  19698614 ns/op	 1475697 B/op	   16354 allocs/op
BenchmarkBuild/version=v2/data=zipf/simd=on-24           	      13	  18358161 ns/op	 1475696 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       5	  45926869 ns/op	 4449096 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       5	  47412185 ns/op	 4449051 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       4	  51395606 ns/op	 4449052 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       4	  55104028 ns/op	 4449048 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       4	  57599101 ns/op	 4449080 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       5	  47875466 ns/op	 4449067 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       4	  50056902 ns/op	 4449104 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       5	  45349894 ns/op	 4449070 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       5	  45675108 ns/op	 4449048 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=sparse/simd=on-24         	       5	  44697538 ns/op	 4449076 B/op	   94643 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     241	   1012528 ns/op	  530835 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     248	    975678 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     247	    923506 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     252	    921876 ns/op	  530836 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     262	    930724 ns/op	  530835 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     235	    991470 ns/op	  530835 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     240	    953593 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     243	   1009090 ns/op	  530834 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     250	    960450 ns/op	  530834 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=runs/simd=on-24           	     240	   1026537 ns/op	  530833 B/op	     213 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      12	  18956724 ns/op	 1475700 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      12	  20055431 ns/op	 1475696 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      13	  18560728 ns/op	 1475697 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      12	  20121732 ns/op	 1475697 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      12	  19306072 ns/op	 1475698 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      10	  20907474 ns/op	 1475731 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      12	  18688948 ns/op	 1475696 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      12	  18736547 ns/op	 1475697 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      12	  19416309 ns/op	 1475726 B/op	   16354 allocs/op
BenchmarkBuild/version=v3/data=zipf/simd=on-24           	      10	  21015637 ns/op	 1475699 B/op	   16354 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 2107456	       104.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 2454471	       101.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 2181616	       108.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 2555991	       107.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 2483772	        96.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 2249106	       109.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 2330042	       102.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 1516718	       147.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 2088846	       112.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=sparse/simd=on-24      	 2064700	       109.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	29623159	         7.667 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	32284377	         9.707 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	29819816	         7.058 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	37472605	         6.467 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	44446665	         5.818 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	31890898	         6.842 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	37346842	         6.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	40290426	         6.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	42351637	         6.731 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=runs/simd=on-24        	38476262	         6.566 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2706352	        87.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2417544	        98.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2497494	        91.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2171246	        98.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2563050	       104.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2795301	        97.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2924076	        87.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2628328	       105.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2515158	        89.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v1/data=zipf/simd=on-24        	 2501454	        90.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 2442339	       104.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 2528521	        98.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 1804184	       130.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 2544062	        95.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 2443461	       103.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 2283678	       110.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 2174680	       105.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 2472889	       104.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 2295289	       126.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=sparse/simd=on-24      	 2003469	       140.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	12846616	        18.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	12278564	        17.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	13989082	        18.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	14317846	        17.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	13917867	        16.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	14686077	        16.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	12304536	        19.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	11402661	        19.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	14138992	        19.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=runs/simd=on-24        	13969911	        17.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2660168	        86.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2727364	        85.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2623080	        87.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2983162	        80.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2982728	        82.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2888131	        82.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2816644	        83.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2867146	        83.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2710676	       112.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v2/data=zipf/simd=on-24        	 2367651	        99.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 1590706	       138.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 2436374	        96.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 2524554	        95.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 2092597	       117.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 2080389	       125.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 1950394	       111.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 2540922	        98.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 2298093	       107.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 2109973	       124.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=sparse/simd=on-24      	 1894440	       118.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	12567606	        18.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	13986207	        18.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	13914286	        16.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	13597023	        17.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	14396028	        16.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	13676607	        16.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	13429971	        17.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	12931698	        16.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	13033111	        17.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=runs/simd=on-24        	12771204	        17.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 2816245	        84.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 2945486	        80.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 2736222	        84.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 2590695	        91.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 2732240	        85.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 2785792	        84.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 2955142	        82.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 2956804	        82.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 3038836	        88.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkContains/version=v3/data=zipf/simd=on-24        	 2898582	        86.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      62	   3833244 ns/op	 1946226 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      66	   3676895 ns/op	 1946225 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      68	   3440868 ns/op	 1946225 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      69	   3443792 ns/op	 1946227 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      52	   3994833 ns/op	 1946225 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      68	   3700887 ns/op	 1946226 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      55	   4688595 ns/op	 1946224 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      55	   4249272 ns/op	 1946226 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      56	   4316962 ns/op	 1946225 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=sparse/simd=on-24           	      64	   3536671 ns/op	 1946224 B/op	   65239 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	    8925	     25415 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	   10000	     25871 ns/op	  143777 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	    9397	     25509 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	    8611	     27494 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	    8612	     26079 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	    9150	     26313 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	    8696	     25919 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	    9610	     26009 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	   10000	     27368 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs/simd=on-24             	    9331	     25757 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     297	    768029 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     276	    855079 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     318	    764081 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     289	    797303 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     290	    797882 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     294	    756254 ns/op	  569115 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     326	    703475 ns/op	  569114 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     303	    792520 ns/op	  569114 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     267	    810039 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf/simd=on-24             	     312	    746742 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      48	   5390484 ns/op	 2468381 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      42	   5315757 ns/op	 2468051 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      40	   5015719 ns/op	 2468052 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      39	   6323639 ns/op	 2468049 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      48	   5695290 ns/op	 2468050 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      39	   5571534 ns/op	 2468049 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      55	   4330133 ns/op	 2468050 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      44	   4575160 ns/op	 2468049 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      63	   4041805 ns/op	 2468049 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse/simd=on-24           	      45	   5061137 ns/op	 2468053 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=runs/simd=on-24             	  174750	      1483 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs/simd=on-24             	  176900	      1364 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs/simd=on-24             	  190065	      1450 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs/simd=on-24             	  202086	      1354 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs/simd=on-24             	  194480	      1465 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs/simd=on-24             	  177202	      1614 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs/simd=on-24             	  134138	      1726 ns/op	    2496 B/op	      33 allocs/op
